group,names,scores,logfoldchanges,pvals,pvals_adj
2,ENSG00000114279,0.5095157,0.046703327,0.6103907969078767,0.9952848817767128
2,ENSG00000196678,0.50438386,0.07830652,0.6139916390792016,0.9952848817767128
2,ENSG00000167565,0.5036508,0.11409115,0.6145068085910281,0.9952848817767128
2,ENSG00000162302,0.5034064,0.47825834,0.6146785740503935,0.9952848817767128
2,ENSG00000101216,0.4997408,0.33506432,0.6172575874392219,0.9952848817767128
2,ENSG00000141564,0.49705273,0.2097502,0.6191518707255572,0.9952848817767128
2,ENSG00000101199,0.49534214,0.07209795,0.6203586430489592,0.9952848817767128
2,ENSG00000068971,0.4936315,0.07805606,0.6215664383450872,0.9952848817767128
2,ENSG00000100441,0.49069905,0.08407092,0.6236393168492085,0.9952848817767128
2,ENSG00000162490,0.49069905,1.69077,0.6236393168492085,0.9952848817767128
2,ENSG00000164048,0.4902103,1.6953166,0.6239850871671585,0.9952848817767128
2,ENSG00000009694,0.4902103,1.2735536,0.6239850871671585,0.9952848817767128
2,ENSG00000171121,0.48996595,0.1994467,0.6241580033996044,0.9952848817767128
2,ENSG00000075391,0.48996595,0.11438892,0.6241580033996044,0.9952848817767128
2,ENSG00000019485,0.48972157,1.7171763,0.6243309403372375,0.9952848817767128
2,ENSG00000105792,0.48972157,0.9488303,0.6243309403372375,0.9952848817767128
2,ENSG00000160868,0.48874408,-0.26755768,0.6250228949826032,0.9952848817767128
2,ENSG00000168795,0.4877666,0.5762242,0.6257151802824004,0.9952848817767128
2,ENSG00000099904,0.48385665,0.6819933,0.6284876179372909,0.9952848817767128
2,ENSG00000138286,0.4833679,0.5646865,0.6288345424521138,0.9952848817767128
2,ENSG00000232956,0.4831235,-0.068913,0.6290080354515838,0.9952848817767128
2,ENSG00000124181,0.48287916,0.59304595,0.6291815489351723,0.9952848817767128
2,ENSG00000136935,0.4806798,0.18310657,0.6307440907608445,0.9952848817767128
2,ENSG00000115267,0.48043543,0.57892454,0.6309178086481128,0.9952848817767128
2,ENSG00000237248,0.48043543,0.65583247,0.6309178086481128,0.9952848817767128
2,ENSG00000125686,0.47994667,0.114025146,0.6312653056042967,0.9952848817767128
2,ENSG00000164749,0.4789692,0.2050657,0.6319605440196497,0.9952848817767128
2,ENSG00000197724,0.47603673,0.37163424,0.6340482106805053,0.9952848817767128
2,ENSG00000164332,0.47505924,0.014037552,0.6347447483280417,0.9952848817767128
2,ENSG00000196981,0.473593,0.3524672,0.6357901612431109,0.9952848817767128
2,ENSG00000173614,0.47212678,0.3015173,0.6368363003420918,0.9952848817767128
2,ENSG00000115020,0.4684612,0.058894154,0.6394548136743887,0.9952848817767128
2,ENSG00000111596,0.4667506,-0.08907794,0.6406783283465645,0.9952848817767128
2,ENSG00000160959,0.46626183,0.015614092,0.6410280835892516,0.9952848817767128
2,ENSG00000197253,0.4657731,1.5740291,0.6413779185441941,0.9952848817767128
2,ENSG00000186376,0.46528435,1.635003,0.6417278331459746,0.9952848817767128
2,ENSG00000146285,0.46479562,1.5481962,0.642077827329123,0.9952848817767128
2,ENSG00000259673,0.46381813,0.23290165,0.6427780541773781,0.9952848817767128
